(-820,-11372)
(-7575,15737)
(30631,8715)
(14833,-23018)
(-5223,-12787)
(-25715,-8292)
(19713,-24089)
(3781,-26927)
(-21797,2911)
(-3145,23405)
(14633,-6005)
(-8109,-18432)
(31423,-12065)
(2689,-10406)
(32429,-32451)
(-31089,-2786)
(21751,24135)
(26789,11078)
(-9353,32460)
(-14441,8876)
(-3687,-25040)
(-10091,20408)
(12952,-32529)
(-4229,-10726)
(31140,2729)
(-5313,-18030)
(-9752,-8585)
(9570,-1366)
(-6280,11657)
(14076,-29518)
(-25529,18732)
(-10701,5545)
(-6091,6050)
(18397,-12773)
(-24368,6532)
(-5326,-19192)
(13528,7230)
(-13618,-25748)
(-30109,16786)
(-31289,-24666)
(2049,27830)
(-4255,3820)
(-14498,12152)
(12474,29810)
(-29814,14068)
(21066,20708)
(-13826,13485)
(23271,12942)
(3842,26625)
(9299,-26380)
(4751,-26832)
(16661,28477)
(-27995,6422)
(-8131,-29335)
(-10362,-1965)
(5357,-5180)
(-2198,535)
(21995,2566)
(-16446,-3637)
(13178,-9471)
(27314,-16069)
(-29398,-26631)
(-2535,-22862)
(12067,10534)
(-22755,-18612)
(-14137,-29228)
(-19756,-9461)
(-8165,-9807)
(10242,21319)
(-7809,185)
(-15807,-31644)
(18455,29345)
(28071,-15642)
(-21089,-16189)
(-4817,-20113)
(1966,-6818)
(-24191,-3673)
(-9712,5522)
(17101,4481)
(-15995,1899)
(-25509,-1133)
(16461,20277)
(20738,3228)
(21198,-24926)
(10894,-8928)
(-9940,-31854)
(15035,-1364)
(-14137,18459)
(-22447,-1492)
(-2083,-6657)
(-5944,7399)
(23012,-13954)
(-24108,-24867)
(17628,1284)
(-31943,-4463)
(13308,12975)
(-11127,-4859)
(-11226,29081)
(11550,-4884)
(-12458,28198)
(24776,-2662)
(29604,-18450)
(21560,5101)
(-19053,18214)
(23132,-4103)
(20247,-22552)
(-4714,-23412)
(-1105,12162)
(-3914,-5930)
(-31297,-16864)
(29803,29926)
(22145,-128)
(-18127,8750)
(-30145,27924)
(7418,11039)
(-20759,-26955)
(9674,-11267)
(-929,27823)
(-25551,7415)
(3358,-12709)
(26123,-6727)
(13670,17359)
(-16131,6151)
(-29537,30262)
(6151,14229)
(-27543,-28112)
(9867,30627)
(-7300,9549)
(-20735,-12261)
(-20836,12097)
(29641,-26279)
(-25003,-25649)
(-1925,24965)
(13679,3851)
(7053,-23315)
(3169,-2354)
(4705,18999)
(-32303,-20722)
(10142,-27498)
(-26737,3964)
(28036,-20906)
(29651,15180)
(-27219,24393)
(-16867,10253)
(9459,26377)
(29061,-21599)
(23508,-27301)
(-26424,12585)
(3292,-21461)
(-166,22541)
(-369,1903)
(-31355,-31248)
(6679,-9031)
(14819,15402)
(11988,-5410)
(16644,-24211)
(26782,20594)
(18460,9177)
(9033,15594)
(-2100,-5916)
